agent_number,season,precipitation,period_start,period_end,lat,lon,site,anomaly,reference_period
5814,Autumn,381.7,1/03/2018,31/05/2018,-46.41741,168.33052,Invercargill,71.3,1961-1990
1056,Winter,492.8,1/06/2018,31/08/2018,-35.183,173.926,Kerikeri,-72.79,1961-1990
1287,Winter,510.8,1/06/2018,31/08/2018,-35.769,174.364,Whangarei,24.90333333,1961-1990
1400,Winter,303.5,1/06/2018,31/08/2018,-36.606,174.835,Whangaparaoa,-62.39666667,1961-1990
15752,Winter,80.8,1/06/2018,31/08/2018,-45.90129,170.5147,Dunedin,-90.81,1961-1990
1615,Winter,435.8,1/06/2018,31/08/2018,-37.673,176.196,Tauranga,47.42666667,1961-1990
1770,Winter,363.2,1/06/2018,31/08/2018,-38.10595,176.31485,Rotorua,-48.66666667,1961-1990
1858,Winter,253.4,1/06/2018,31/08/2018,-38.74263,176.08104,Taupo,-6.896666667,1961-1990
1962,Winter,434,1/06/2018,31/08/2018,-37.00813,174.78873,Auckland,74.21666667,1961-1990
2112,Winter,406,1/06/2018,31/08/2018,-37.86088,175.33175,Hamilton,33.34333333,1961-1990
2250,Winter,426.4,1/06/2018,31/08/2018,-38.88784,175.25981,Taumarunui,68.68333333,1961-1990
2283,Winter,411.6,1/06/2018,31/08/2018,-39.0079,174.18382,New Plymouth,-44.95,1961-1990
2534,Winter,222.8,1/06/2018,31/08/2018,-40.21,176.109,Dannevirke,-73.32333333,1961-1990
25354,Winter,380.8,1/06/2018,31/08/2018,-41.285,174.768,Wellington,-59.45333333,1961-1990
2810,Winter,370.5,1/06/2018,31/08/2018,-38.6586,177.9851,Gisborne,22.12666667,1961-1990
2997,Winter,183.6,1/06/2018,31/08/2018,-39.49846,176.91189,Napier,-52.07666667,1961-1990
3629,Winter,363.3,1/06/2018,31/08/2018,-39.46249,175.66283,Waiouru,68.69666667,1961-1990
3715,Winter,296.2,1/06/2018,31/08/2018,-39.93704,175.04509,Whanganui,55.43,1961-1990
37662,Winter,268.6,1/06/2018,31/08/2018,-40.957,175.707,Masterton,-24.85333333,1961-1990
3909,Winter,598.1,1/06/2018,31/08/2018,-42.71228,170.98428,Hokitika,-73.87,1961-1990
3925,Winter,539.8,1/06/2018,31/08/2018,-42.11578,171.86014,Reefton,15.24333333,1961-1990
4107,Winter,1364.9,1/06/2018,31/08/2018,-44.67384,167.92406,Milford Sound,168.5,1961-1990
4241,Winter,273.5,1/06/2018,31/08/2018,-41.299,173.226,Nelson,7.966666667,1961-1990
4326,Winter,192,1/06/2018,31/08/2018,-41.52133,173.86439,Blenheim,-5.493333333,1961-1990
4843,Winter,133.6,1/06/2018,31/08/2018,-43.493,172.537,Christchurch,-44.91666667,1961-1990
4970,Winter,94.8,1/06/2018,31/08/2018,-44.002,170.441,Lake Tekapo,-74.96666667,1961-1990
5086,Winter,78.8,1/06/2018,31/08/2018,-44.30517,171.22141,Timaru,-38.16666667,1961-1990
5212,Winter,76.2,1/06/2018,31/08/2018,-44.52612,169.88948,Tara Hills,-41.07333333,1961-1990
5451,Winter,133.4,1/06/2018,31/08/2018,-45.01758,168.74005,Queenstown,-19.56333333,1961-1990
5778,Winter,163.2,1/06/2018,31/08/2018,-46.115,168.887,Gore,-22.10666667,1961-1990
5814,Winter,228.6,1/06/2018,31/08/2018,-46.41741,168.33052,Invercargill,-5.106666667,1961-1990
1056,Spring,257.4,1/09/2018,30/11/2018,-35.183,173.926,Kerikeri,-111.6766667,1961-1990
1287,Spring,282,1/09/2018,30/11/2018,-35.769,174.364,Whangarei,-37.32,1961-1990
1400,Spring,185.3,1/09/2018,30/11/2018,-36.606,174.835,Whangaparaoa,-74.51,1961-1990
15752,Spring,260.8,1/09/2018,30/11/2018,-45.90129,170.5147,Dunedin,107.33,1961-1990
1615,Spring,225,1/09/2018,30/11/2018,-37.673,176.196,Tauranga,-69.81666667,1961-1990
1770,Spring,238.6,1/09/2018,30/11/2018,-38.10595,176.31485,Rotorua,-102.7166667,1961-1990
1858,Spring,170.4,1/09/2018,30/11/2018,-38.74263,176.08104,Taupo,-56.66,1961-1990
1962,Spring,221.3,1/09/2018,30/11/2018,-37.00813,174.78873,Auckland,-34.16666667,1961-1990
2112,Spring,226.8,1/09/2018,30/11/2018,-37.86088,175.33175,Hamilton,-73.74,1961-1990
2250,Spring,202.8,1/09/2018,30/11/2018,-38.88784,175.25981,Taumarunui,-144.27,1961-1990
2283,Spring,204.2,1/09/2018,30/11/2018,-39.0079,174.18382,New Plymouth,-149.2033333,1961-1990
2534,Spring,235,1/09/2018,30/11/2018,-40.21,176.109,Dannevirke,-8.42,1961-1990
25354,Spring,351.8,1/09/2018,30/11/2018,-41.285,174.768,Wellington,37.22,1961-1990
2810,Spring,240.8,1/09/2018,30/11/2018,-38.6586,177.9851,Gisborne,33.07666667,1961-1990
2997,Spring,252.8,1/09/2018,30/11/2018,-39.49846,176.91189,Napier,98.44,1961-1990
3629,Spring,229.1,1/09/2018,30/11/2018,-39.46249,175.66283,Waiouru,-20.55666667,1961-1990
3715,Spring,180.4,1/09/2018,30/11/2018,-39.93704,175.04509,Whanganui,-25.14666667,1961-1990
37662,Spring,254.2,1/09/2018,30/11/2018,-40.957,175.707,Masterton,68.32666667,1961-1990
3909,Spring,586,1/09/2018,30/11/2018,-42.71228,170.98428,Hokitika,-198.4366667,1961-1990
3925,Spring,257.6,1/09/2018,30/11/2018,-42.11578,171.86014,Reefton,-302.4666667,1961-1990
4107,Spring,1217.8,1/09/2018,30/11/2018,-44.67384,167.92406,Milford Sound,-533.6633333,1961-1990
4241,Spring,158.2,1/09/2018,30/11/2018,-41.299,173.226,Nelson,-93.97666667,1961-1990
4326,Spring,141.4,1/09/2018,30/11/2018,-41.52133,173.86439,Blenheim,-29.81666667,1961-1990
4843,Spring,218,1/09/2018,30/11/2018,-43.493,172.537,Christchurch,82.14,1961-1990
4970,Spring,225.4,1/09/2018,30/11/2018,-44.002,170.441,Lake Tekapo,74.93333333,1961-1990
5086,Spring,262.7,1/09/2018,30/11/2018,-44.30517,171.22141,Timaru,136.87,1961-1990
5212,Spring,235,1/09/2018,30/11/2018,-44.52612,169.88948,Tara Hills,98.35,1961-1990
5451,Spring,204,1/09/2018,30/11/2018,-45.01758,168.74005,Queenstown,27.00666667,1961-1990
5778,Spring,333.4,1/09/2018,30/11/2018,-46.115,168.887,Gore,121.86,1961-1990
5814,Spring,280.8,1/09/2018,30/11/2018,-46.41741,168.33052,Invercargill,26.77333333,1961-1990
1056,Summer,196.8,1/12/2018,28/02/2019,-35.183,173.926,Kerikeri,-102.6733333,1961-1990
1287,Summer,184.3,1/12/2018,28/02/2019,-35.769,174.364,Whangarei,-120.6266667,1961-1990
1400,Summer,246.6,1/12/2018,28/02/2019,-36.606,174.835,Whangaparaoa,20.04333333,1961-1990
15752,Summer,159.8,1/12/2018,28/02/2019,-45.90129,170.5147,Dunedin,-15.70666667,1961-1990
1615,Summer,312.8,1/12/2018,28/02/2019,-37.673,176.196,Tauranga,22.73666667,1961-1990
1770,Summer,318,1/12/2018,28/02/2019,-38.10595,176.31485,Rotorua,-28.53333333,1961-1990
1858,Summer,231.6,1/12/2018,28/02/2019,-38.74263,176.08104,Taupo,-6.44,1961-1990
1962,Summer,258.2,1/12/2018,28/02/2019,-37.00813,174.78873,Auckland,16.94333333,1961-1990
2112,Summer,228.4,1/12/2018,28/02/2019,-37.86088,175.33175,Hamilton,-39.33,1961-1990
2250,Summer,234.3,1/12/2018,28/02/2019,-38.88784,175.25981,Taumarunui,-50.21666667,1961-1990
2283,Summer,199,1/12/2018,28/02/2019,-39.0079,174.18382,New Plymouth,-116.8766667,1961-1990
2534,Summer,174.8,1/12/2018,28/02/2019,-40.21,176.109,Dannevirke,-60.80666667,1961-1990
25354,Summer,142.6,1/12/2018,28/02/2019,-41.285,174.768,Wellington,-100.7466667,1961-1990
2810,Summer,255,1/12/2018,28/02/2019,-38.6586,177.9851,Gisborne,52.37333333,1961-1990
2997,Summer,231.8,1/12/2018,28/02/2019,-39.49846,176.91189,Napier,67.60666667,1961-1990
3629,Summer,221.5,1/12/2018,28/02/2019,-39.46249,175.66283,Waiouru,-25.57,1961-1990
3715,Summer,141,1/12/2018,28/02/2019,-39.93704,175.04509,Whanganui,-60.87666667,1961-1990
37662,Summer,155.8,1/12/2018,28/02/2019,-40.957,175.707,Masterton,0.776666667,1961-1990
3909,Summer,379.8,1/12/2018,28/02/2019,-42.71228,170.98428,Hokitika,-273.75,1961-1990
3925,Summer,231,1/12/2018,28/02/2019,-42.11578,171.86014,Reefton,-189.5333333,1961-1990
4107,Summer,2205.5,1/12/2018,28/02/2019,-44.67384,167.92406,Milford Sound,471.43,1961-1990
4241,Summer,89.7,1/12/2018,28/02/2019,-41.299,173.226,Nelson,-119.83,1961-1990
4326,Summer,81.8,1/12/2018,28/02/2019,-41.52133,173.86439,Blenheim,-60.19666667,1961-1990
4843,Summer,118.2,1/12/2018,28/02/2019,-43.493,172.537,Christchurch,-16.36,1961-1990
4970,Summer,84.5,1/12/2018,28/02/2019,-44.002,170.441,Lake Tekapo,-41.31333333,1961-1990
5086,Summer,129.1,1/12/2018,28/02/2019,-44.30517,171.22141,Timaru,-10.80333333,1961-1990
5212,Summer,121,1/12/2018,28/02/2019,-44.52612,169.88948,Tara Hills,-27.49333333,1961-1990
5451,Summer,125.2,1/12/2018,28/02/2019,-45.01758,168.74005,Queenstown,-28.29,1961-1990
5778,Summer,233.4,1/12/2018,28/02/2019,-46.115,168.887,Gore,-17.29666667,1961-1990
5814,Summer,266.3,1/12/2018,28/02/2019,-46.41741,168.33052,Invercargill,-13.14333333,1961-1990
1056,Annual,1167,1/01/2019,31/12/2019,-35.183,173.926,Kerikeri,-462.42,1961-1990
1287,Annual,863.3,1/01/2019,31/12/2019,-35.769,174.364,Whangarei,-614.6366667,1961-1990
1400,Annual,717.2,1/01/2019,31/12/2019,-36.606,174.835,Whangaparaoa,-398.7266667,1961-1990
15752,Annual,712.4,1/01/2019,31/12/2019,-45.90129,170.5147,Dunedin,25.43333333,1961-1990
1615,Annual,787,1/01/2019,31/12/2019,-37.673,176.196,Tauranga,-530.7833333,1961-1990
1770,Annual,944.5,1/01/2019,31/12/2019,-38.10595,176.31485,Rotorua,-498.4433333,1961-1990
1858,Annual,840.4,1/01/2019,31/12/2019,-38.74263,176.08104,Taupo,-94.92666667,1961-1990
1962,Annual,942,1/01/2019,31/12/2019,-37.00813,174.78873,Auckland,-187.88,1961-1990
2112,Annual,853.4,1/01/2019,31/12/2019,-37.86088,175.33175,Hamilton,-365.84,1961-1990
2250,Annual,1411.2,1/01/2019,31/12/2019,-38.88784,175.25981,Taumarunui,141.0466667,1961-1990
2283,Annual,1573.3,1/01/2019,31/12/2019,-39.0079,174.18382,New Plymouth,75.02666667,1961-1990
2534,Annual,726.1,1/01/2019,31/12/2019,-40.21,176.109,Dannevirke,-303.4466667,1961-1990
25354,Annual,1257.7,1/01/2019,31/12/2019,-41.285,174.768,Wellington,-82.43,1961-1990
2810,Annual,804,1/01/2019,31/12/2019,-38.6586,177.9851,Gisborne,-217.6066667,1961-1990
2997,Annual,657.7,1/01/2019,31/12/2019,-39.49846,176.91189,Napier,-97.06,1961-1990
3629,Annual,1153.2,1/01/2019,31/12/2019,-39.46249,175.66283,Waiouru,119.7733333,1961-1990
3715,Annual,856.7,1/01/2019,31/12/2019,-39.93704,175.04509,Whanganui,-2.42,1961-1990
37662,Annual,689.8,1/01/2019,31/12/2019,-40.957,175.707,Masterton,-159.3566667,1961-1990
3909,Annual,3517.1,1/01/2019,31/12/2019,-42.71228,170.98428,Hokitika,692.78,1961-1990
3925,Annual,2182.8,1/01/2019,31/12/2019,-42.11578,171.86014,Reefton,195.0966667,1961-1990
4107,Annual,8680.3,1/01/2019,31/12/2019,-44.67384,167.92406,Milford Sound,2177.74,1961-1990
4241,Annual,1012.9,1/01/2019,31/12/2019,-41.299,173.226,Nelson,18.61666667,1961-1990
4326,Annual,742.6,1/01/2019,31/12/2019,-41.52133,173.86439,Blenheim,47.99666667,1961-1990
4843,Annual,574,1/01/2019,31/12/2019,-43.493,172.537,Christchurch,-41.81,1961-1990
4970,Annual,651.3,1/01/2019,31/12/2019,-44.002,170.441,Lake Tekapo,53.47,1961-1990
5086,Annual,488.8,1/01/2019,31/12/2019,-44.30517,171.22141,Timaru,-40.92,1961-1990
5212,Annual,558.5,1/01/2019,31/12/2019,-44.52612,169.88948,Tara Hills,7.876666667,1961-1990
5451,Annual,763.8,1/01/2019,31/12/2019,-45.01758,168.74005,Queenstown,90.69333333,1961-1990
5778,Annual,1036.9,1/01/2019,31/12/2019,-46.115,168.887,Gore,134.6833333,1961-1990
5814,Annual,1238.6,1/01/2019,31/12/2019,-46.41741,168.33052,Invercargill,157.0366667,1961-1990
1056,Autumn,233.4,1/03/2019,31/05/2019,-35.183,173.926,Kerikeri,-165.2066667,1961-1990
1287,Autumn,149.6,1/03/2019,31/05/2019,-35.769,174.364,Whangarei,-222.8166667,1961-1990
1400,Autumn,162.4,1/03/2019,31/05/2019,-36.606,174.835,Whangaparaoa,-103.6566667,1961-1990
15752,Autumn,150.2,1/03/2019,31/05/2019,-45.90129,170.5147,Dunedin,-36.02666667,1961-1990
1615,Autumn,192.2,1/03/2019,31/05/2019,-37.673,176.196,Tauranga,-153.58,1961-1990
1770,Autumn,186.4,1/03/2019,31/05/2019,-38.10595,176.31485,Rotorua,-156.4033333,1961-1990
1858,Autumn,152.2,1/03/2019,31/05/2019,-38.74263,176.08104,Taupo,-57.84666667,1961-1990
1962,Autumn,183.8,1/03/2019,31/05/2019,-37.00813,174.78873,Auckland,-90.84666667,1961-1990
2112,Autumn,191.2,1/03/2019,31/05/2019,-37.86088,175.33175,Hamilton,-87.68,1961-1990
2250,Autumn,337.7,1/03/2019,31/05/2019,-38.88784,175.25981,Taumarunui,56.92333333,1961-1990
2283,Autumn,435.6,1/03/2019,31/05/2019,-39.0079,174.18382,New Plymouth,63.19,1961-1990
2534,Autumn,129.6,1/03/2019,31/05/2019,-40.21,176.109,Dannevirke,-129.6166667,1961-1990
25354,Autumn,407.8,1/03/2019,31/05/2019,-41.285,174.768,Wellington,65.41666667,1961-1990
2810,Autumn,187.8,1/03/2019,31/05/2019,-38.6586,177.9851,Gisborne,-78.45,1961-1990
2997,Autumn,75.4,1/03/2019,31/05/2019,-39.49846,176.91189,Napier,-128.78,1961-1990
3629,Autumn,246.3,1/03/2019,31/05/2019,-39.46249,175.66283,Waiouru,1.753333333,1961-1990
3715,Autumn,239,1/03/2019,31/05/2019,-39.93704,175.04509,Whanganui,27.99333333,1961-1990
37662,Autumn,171,1/03/2019,31/05/2019,-40.957,175.707,Masterton,-46.67666667,1961-1990
3909,Autumn,1070.8,1/03/2019,31/05/2019,-42.71228,170.98428,Hokitika,368.9633333,1961-1990
3925,Autumn,574.8,1/03/2019,31/05/2019,-42.11578,171.86014,Reefton,95.63,1961-1990
4107,Autumn,2656.6,1/03/2019,31/05/2019,-44.67384,167.92406,Milford Sound,867.5733333,1961-1990
4241,Autumn,263.6,1/03/2019,31/05/2019,-41.299,173.226,Nelson,-4.456666667,1961-1990
4326,Autumn,241.4,1/03/2019,31/05/2019,-41.52133,173.86439,Blenheim,57.49,1961-1990
4843,Autumn,160.2,1/03/2019,31/05/2019,-43.493,172.537,Christchurch,-7.983333333,1961-1990
4970,Autumn,168.9,1/03/2019,31/05/2019,-44.002,170.441,Lake Tekapo,17.41666667,1961-1990
5086,Autumn,118.4,1/03/2019,31/05/2019,-44.30517,171.22141,Timaru,-29.21,1961-1990
5212,Autumn,180.4,1/03/2019,31/05/2019,-44.52612,169.88948,Tara Hills,33.70333333,1961-1990
5451,Autumn,261.8,1/03/2019,31/05/2019,-45.01758,168.74005,Queenstown,74.70666667,1961-1990
5778,Autumn,250.7,1/03/2019,31/05/2019,-46.115,168.887,Gore,-1.343333333,1961-1990
5814,Autumn,269.8,1/03/2019,31/05/2019,-46.41741,168.33052,Invercargill,-40.6,1961-1990
1056,Winter,446.4,1/06/2019,31/08/2019,-35.183,173.926,Kerikeri,-119.19,1961-1990
1287,Winter,288.6,1/06/2019,31/08/2019,-35.769,174.364,Whangarei,-197.2966667,1961-1990
1400,Winter,238.9,1/06/2019,31/08/2019,-36.606,174.835,Whangaparaoa,-126.9966667,1961-1990
15752,Winter,131.2,1/06/2019,31/08/2019,-45.90129,170.5147,Dunedin,-40.41,1961-1990
1615,Winter,277.2,1/06/2019,31/08/2019,-37.673,176.196,Tauranga,-111.1733333,1961-1990
1770,Winter,320.6,1/06/2019,31/08/2019,-38.10595,176.31485,Rotorua,-91.26666667,1961-1990
1858,Winter,326.4,1/06/2019,31/08/2019,-38.74263,176.08104,Taupo,66.10333333,1961-1990
1962,Winter,420.6,1/06/2019,31/08/2019,-37.00813,174.78873,Auckland,60.81666667,1961-1990
2112,Winter,328.8,1/06/2019,31/08/2019,-37.86088,175.33175,Hamilton,-43.85666667,1961-1990
2250,Winter,478.1,1/06/2019,31/08/2019,-38.88784,175.25981,Taumarunui,120.3833333,1961-1990
2283,Winter,501.7,1/06/2019,31/08/2019,-39.0079,174.18382,New Plymouth,45.15,1961-1990
2534,Winter,274.8,1/06/2019,31/08/2019,-40.21,176.109,Dannevirke,-21.32333333,1961-1990
25354,Winter,353.6,1/06/2019,31/08/2019,-41.285,174.768,Wellington,-86.65333333,1961-1990
2810,Winter,203,1/06/2019,31/08/2019,-38.6586,177.9851,Gisborne,-145.3733333,1961-1990
2997,Winter,203.6,1/06/2019,31/08/2019,-39.49846,176.91189,Napier,-32.07666667,1961-1990
3629,Winter,452.1,1/06/2019,31/08/2019,-39.46249,175.66283,Waiouru,157.4966667,1961-1990
3715,Winter,289.7,1/06/2019,31/08/2019,-39.93704,175.04509,Whanganui,48.93,1961-1990
37662,Winter,254.4,1/06/2019,31/08/2019,-40.957,175.707,Masterton,-39.05333333,1961-1990
3909,Winter,917.8,1/06/2019,31/08/2019,-42.71228,170.98428,Hokitika,245.83,1961-1990
3925,Winter,629,1/06/2019,31/08/2019,-42.11578,171.86014,Reefton,104.4433333,1961-1990
4107,Winter,1257.1,1/06/2019,31/08/2019,-44.67384,167.92406,Milford Sound,60.7,1961-1990
4241,Winter,296.2,1/06/2019,31/08/2019,-41.299,173.226,Nelson,30.66666667,1961-1990
4326,Winter,206,1/06/2019,31/08/2019,-41.52133,173.86439,Blenheim,8.506666667,1961-1990
4843,Winter,168.2,1/06/2019,31/08/2019,-43.493,172.537,Christchurch,-10.31666667,1961-1990
4970,Winter,155.7,1/06/2019,31/08/2019,-44.002,170.441,Lake Tekapo,-14.06666667,1961-1990
5086,Winter,120.8,1/06/2019,31/08/2019,-44.30517,171.22141,Timaru,3.833333333,1961-1990
5212,Winter,48,1/06/2019,31/08/2019,-44.52612,169.88948,Tara Hills,-69.27333333,1961-1990
5451,Winter,100.4,1/06/2019,31/08/2019,-45.01758,168.74005,Queenstown,-52.56333333,1961-1990
5778,Winter,216.3,1/06/2019,31/08/2019,-46.115,168.887,Gore,30.99333333,1961-1990
5814,Winter,305.3,1/06/2019,31/08/2019,-46.41741,168.33052,Invercargill,71.59333333,1961-1990
1056,Spring,326.6,1/09/2019,30/11/2019,-35.183,173.926,Kerikeri,-42.47666667,1961-1990
1287,Spring,308.2,1/09/2019,30/11/2019,-35.769,174.364,Whangarei,-11.12,1961-1990
1400,Spring,210.7,1/09/2019,30/11/2019,-36.606,174.835,Whangaparaoa,-49.11,1961-1990
15752,Spring,212.4,1/09/2019,30/11/2019,-45.90129,170.5147,Dunedin,58.93,1961-1990
1615,Spring,225.6,1/09/2019,30/11/2019,-37.673,176.196,Tauranga,-69.21666667,1961-1990
1770,Spring,219,1/09/2019,30/11/2019,-38.10595,176.31485,Rotorua,-122.3166667,1961-1990
1858,Spring,158,1/09/2019,30/11/2019,-38.74263,176.08104,Taupo,-69.06,1961-1990
1962,Spring,234.4,1/09/2019,30/11/2019,-37.00813,174.78873,Auckland,-21.06666667,1961-1990
2112,Spring,224.2,1/09/2019,30/11/2019,-37.86088,175.33175,Hamilton,-76.34,1961-1990
2250,Spring,350.4,1/09/2019,30/11/2019,-38.88784,175.25981,Taumarunui,3.33,1961-1990
2283,Spring,371.2,1/09/2019,30/11/2019,-39.0079,174.18382,New Plymouth,17.79666667,1961-1990
2534,Spring,197.1,1/09/2019,30/11/2019,-40.21,176.109,Dannevirke,-46.32,1961-1990
25354,Spring,304.6,1/09/2019,30/11/2019,-41.285,174.768,Wellington,-9.98,1961-1990
2810,Spring,201,1/09/2019,30/11/2019,-38.6586,177.9851,Gisborne,-6.723333333,1961-1990
2997,Spring,193.7,1/09/2019,30/11/2019,-39.49846,176.91189,Napier,39.34,1961-1990
3629,Spring,273.5,1/09/2019,30/11/2019,-39.46249,175.66283,Waiouru,23.84333333,1961-1990
3715,Spring,184.6,1/09/2019,30/11/2019,-39.93704,175.04509,Whanganui,-20.94666667,1961-1990
37662,Spring,180.2,1/09/2019,30/11/2019,-40.957,175.707,Masterton,-5.673333333,1961-1990
3909,Spring,935.8,1/09/2019,30/11/2019,-42.71228,170.98428,Hokitika,151.3633333,1961-1990
3925,Spring,600.6,1/09/2019,30/11/2019,-42.11578,171.86014,Reefton,40.53333333,1961-1990
4107,Spring,2023.1,1/09/2019,30/11/2019,-44.67384,167.92406,Milford Sound,271.6366667,1961-1990
4241,Spring,284.1,1/09/2019,30/11/2019,-41.299,173.226,Nelson,31.92333333,1961-1990
4326,Spring,169.2,1/09/2019,30/11/2019,-41.52133,173.86439,Blenheim,-2.016666667,1961-1990
4843,Spring,161.4,1/09/2019,30/11/2019,-43.493,172.537,Christchurch,25.54,1961-1990
4970,Spring,129.1,1/09/2019,30/11/2019,-44.002,170.441,Lake Tekapo,-21.36666667,1961-1990
5086,Spring,119.3,1/09/2019,30/11/2019,-44.30517,171.22141,Timaru,-6.53,1961-1990
5212,Spring,115.6,1/09/2019,30/11/2019,-44.52612,169.88948,Tara Hills,-21.05,1961-1990
5451,Spring,172.2,1/09/2019,30/11/2019,-45.01758,168.74005,Queenstown,-4.793333333,1961-1990
5778,Spring,280.7,1/09/2019,30/11/2019,-46.115,168.887,Gore,69.16,1961-1990
5814,Spring,317.2,1/09/2019,30/11/2019,-46.41741,168.33052,Invercargill,63.17333333,1961-1990
